rainfall_mm,slope_deg,susceptibility,soil_saturation,past_incidents,risk_probability,slide_occurred
78.6,47.2,0.368,0.303,1,0.549,1
6.2,26.2,0.235,0.154,2,0.143,0
18.4,52.1,0.387,0.18,3,0.572,1
61.2,17.5,0.594,0.307,3,0.244,0
7.9,39.3,0.376,0.165,1,0.225,0
76.7,39.8,0.367,0.39,2,0.524,1
80.3,27.0,0.197,0.436,2,0.264,0
31.9,39.2,0.724,0.159,4,0.471,0
0.3,47.8,0.784,0.126,3,0.758,1
15.2,12.8,0.474,0.258,2,0.127,0
43.2,40.0,0.826,0.137,4,0.555,1
178.8,10.1,0.554,0.41,4,0.575,1
45.0,25.3,0.047,0.273,3,0.184,0
13.5,51.3,0.146,0.221,1,0.361,0
45.2,29.2,0.268,0.198,1,0.159,0
34.9,23.3,0.51,0.185,2,0.12,0
68.1,33.0,0.094,0.248,0,0.108,0
5.1,55.7,0.437,0.093,3,0.622,1
64.4,16.7,0.621,0.356,7,0.3,0
35.1,24.5,0.303,0.137,5,0.219,0
148.3,50.0,0.423,0.475,3,0.913,1
18.8,53.6,0.478,0.122,2,0.519,1
45.1,34.0,0.476,0.139,4,0.26,0
121.0,22.6,0.295,0.502,7,0.657,1
4.9,56.0,0.579,0.12,0,0.608,1
124.6,50.9,0.292,0.456,4,0.878,1
52.4,41.8,0.422,0.152,2,0.33,0
3.2,26.9,0.364,0.098,3,0.134,0
16.1,34.5,0.307,0.248,3,0.212,0
55.4,33.4,0.437,0.486,3,0.322,0
3.1,38.3,0.674,0.05,2,0.361,0
39.3,49.5,0.095,0.226,2,0.399,0
19.1,43.8,0.362,0.228,0,0.331,0
43.6,24.2,0.139,0.203,2,0.192,0
2.1,48.8,0.094,0.223,4,0.309,0
92.3,38.1,0.215,0.296,2,0.423,0
163.4,41.9,0.718,0.543,3,0.926,1
156.1,49.7,0.437,0.473,4,0.99,1
62.3,23.9,0.296,0.393,1,0.133,0
6.3,34.6,0.259,0.111,1,0.116,0
63.9,29.7,0.512,0.271,8,0.407,0
1.1,19.3,0.398,0.228,2,0.103,0
1.0,38.5,0.294,0.07,3,0.27,0
17.6,60.0,0.132,0.197,5,0.726,1
30.2,16.6,0.198,0.075,3,0.06,0
66.2,34.7,0.709,0.217,6,0.632,1
51.7,41.4,0.437,0.301,3,0.458,0
26.6,36.2,0.228,0.133,2,0.23,0
14.4,33.9,0.483,0.14,6,0.39,0
263.3,22.0,0.581,0.804,0,0.64,1
25.0,37.3,0.259,0.162,3,0.209,0
27.0,27.4,0.321,0.279,1,0.179,0
8.0,13.1,0.357,0.186,0,0.034,0
71.3,46.9,0.174,0.351,3,0.499,0
53.2,44.6,0.432,0.374,6,0.637,1
11.2,35.5,0.191,0.202,1,0.12,0
3.9,37.3,0.107,0.282,1,0.17,0
51.3,45.7,0.191,0.343,3,0.471,0
47.8,37.2,0.418,0.22,2,0.318,0
14.4,44.0,0.216,0.287,3,0.397,0
135.6,32.0,0.328,0.487,3,0.721,1
7.4,48.1,0.361,0.136,6,0.546,1
25.5,38.2,0.141,0.232,2,0.234,0
129.4,36.9,0.865,0.541,5,0.944,1
24.5,22.3,0.297,0.244,5,0.163,0
45.8,37.9,0.556,0.403,3,0.404,0
22.8,26.7,0.344,0.29,0,0.098,0
14.4,28.6,0.589,0.226,2,0.193,0
186.0,26.8,0.603,0.502,2,0.74,1
23.7,24.3,0.431,0.191,1,0.145,0
101.0,56.2,0.093,0.391,4,0.845,1
11.8,48.3,0.718,0.233,3,0.704,1
10.8,54.2,0.222,0.226,1,0.482,0
1.4,22.8,0.142,0.167,2,0.159,0
47.5,35.7,0.568,0.27,2,0.33,0
20.7,22.1,0.407,0.256,1,0.159,0
89.9,28.0,0.393,0.291,2,0.327,0
28.8,25.8,0.249,0.353,3,0.222,0
155.2,47.4,0.622,0.348,3,0.99,1
9.2,31.0,0.163,0.288,1,0.171,0
91.3,45.7,0.397,0.36,2,0.638,1
67.4,41.0,0.141,0.388,0,0.294,0
66.3,58.0,0.571,0.334,4,0.902,1
83.8,20.2,0.813,0.373,5,0.382,0
64.4,47.6,0.486,0.345,3,0.682,1
44.3,46.5,0.194,0.318,2,0.353,0
6.3,25.3,0.563,0.138,6,0.319,0
1.5,45.1,0.298,0.236,1,0.302,0
114.1,38.4,0.23,0.33,2,0.672,1
43.1,32.7,0.323,0.25,1,0.165,0
71.7,26.8,0.096,0.384,3,0.237,0
29.6,27.8,0.719,0.299,1,0.213,0
5.6,55.5,0.349,0.2,3,0.596,1
6.0,35.0,0.447,0.133,2,0.262,0
52.1,42.8,0.731,0.343,7,0.732,1
25.3,27.1,0.692,0.156,0,0.134,0
10.1,27.2,0.259,0.314,2,0.179,0
30.4,45.8,0.389,0.214,4,0.5,1
3.0,21.5,0.218,0.05,2,0.048,0
39.2,30.8,0.622,0.146,3,0.288,0
14.1,35.3,0.689,0.186,5,0.426,0
71.9,36.1,0.1,0.329,0,0.187,0
16.7,33.2,0.731,0.347,6,0.47,0
27.3,39.0,0.174,0.131,4,0.187,0
0.5,41.9,0.34,0.154,1,0.318,0
3.4,42.3,0.12,0.073,2,0.255,0
22.4,25.1,0.464,0.163,1,0.082,0
29.4,32.2,0.172,0.353,0,0.183,0
41.2,46.9,0.286,0.155,2,0.342,0
15.5,43.9,0.361,0.233,2,0.385,0
53.4,21.3,0.07,0.306,2,0.112,0
88.5,38.5,0.487,0.355,3,0.534,1
68.1,15.2,0.044,0.35,0,0.083,0
1.8,35.5,0.273,0.061,7,0.289,0
29.5,54.0,0.527,0.351,6,0.904,1
5.0,25.5,0.594,0.316,6,0.334,0
12.5,26.7,0.28,0.183,2,0.146,0
194.3,42.6,0.159,0.797,2,0.935,1
6.9,19.6,0.416,0.134,1,0.033,0
31.1,28.7,0.509,0.255,5,0.237,0
43.3,41.0,0.484,0.366,2,0.438,0
54.6,28.7,0.362,0.241,3,0.254,0
36.9,32.6,0.648,0.126,3,0.299,0
0.4,42.4,0.304,0.05,0,0.118,0
17.8,39.2,0.325,0.356,2,0.258,0
32.8,37.7,0.311,0.184,2,0.259,0
4.1,31.6,0.478,0.145,1,0.27,0
19.4,38.7,0.345,0.106,3,0.31,0
1.5,33.8,0.738,0.229,5,0.49,0
3.7,39.6,0.68,0.096,4,0.431,0
22.8,30.0,0.394,0.164,2,0.191,0
6.4,33.2,0.086,0.189,0,0.083,0
37.7,25.1,0.698,0.153,3,0.257,0
52.6,34.6,0.533,0.259,1,0.273,0
72.6,26.9,0.115,0.431,4,0.294,0
10.0,23.9,0.574,0.208,2,0.16,0
8.2,37.6,0.082,0.18,1,0.179,0
5.0,37.1,0.114,0.179,1,0.164,0
45.5,42.8,0.315,0.225,1,0.314,0
55.2,30.7,0.931,0.438,4,0.631,1
1.4,39.1,0.218,0.088,0,0.109,0
123.8,40.5,0.695,0.456,4,0.824,1
2.4,39.4,0.673,0.165,3,0.422,0
35.1,26.7,0.203,0.313,1,0.196,0
55.6,36.5,0.476,0.368,2,0.422,0
92.1,38.6,0.708,0.362,3,0.637,1
56.3,35.1,0.531,0.305,3,0.351,0
72.8,14.1,0.13,0.346,0,0.04,0
18.7,36.6,0.087,0.05,2,0.144,0
75.9,57.1,0.619,0.2,4,0.945,1
3.8,31.4,0.26,0.11,1,0.138,0
101.3,27.7,0.458,0.342,0,0.304,0
35.7,38.7,0.261,0.137,0,0.207,0
76.5,38.1,0.286,0.388,3,0.388,0
27.1,46.9,0.307,0.213,2,0.446,0
46.4,22.4,0.22,0.241,1,0.119,0
33.6,42.3,0.49,0.128,5,0.433,0
59.2,40.9,0.544,0.285,2,0.469,0
3.8,33.6,0.204,0.05,1,0.175,0
2.8,38.4,0.213,0.143,3,0.298,0
12.8,45.3,0.645,0.185,4,0.562,1
7.8,43.7,0.192,0.188,2,0.318,0
92.4,23.6,0.468,0.241,2,0.277,0
11.1,43.2,0.707,0.194,3,0.504,1
167.6,34.4,0.169,0.458,1,0.665,1
18.5,35.7,0.263,0.128,3,0.176,0
9.0,35.7,0.256,0.229,3,0.206,0
70.2,33.5,0.302,0.475,0,0.302,0
48.4,46.9,0.406,0.267,2,0.504,1
31.0,34.2,0.245,0.157,3,0.166,0
36.5,23.8,0.498,0.25,4,0.139,0
57.2,31.1,0.519,0.358,4,0.306,0
11.7,36.8,0.364,0.227,2,0.212,0
252.4,47.3,0.211,0.958,1,0.935,1
165.6,41.0,0.627,0.479,4,0.978,1
47.3,26.5,0.359,0.281,0,0.117,0
10.0,59.9,0.108,0.297,0,0.651,1
51.3,37.6,0.182,0.389,0,0.158,0
3.4,47.8,0.33,0.05,1,0.28,0
1.4,33.5,0.278,0.153,4,0.259,0
13.4,40.3,0.205,0.3,3,0.331,0
27.9,43.4,0.316,0.446,0,0.325,0
91.2,47.2,0.178,0.419,3,0.672,1
58.5,45.6,0.401,0.257,0,0.42,0
61.1,43.7,0.302,0.212,2,0.346,0
24.9,31.8,0.421,0.386,0,0.202,0
19.1,29.3,0.383,0.253,1,0.188,0
20.9,38.3,0.533,0.131,4,0.328,0
197.7,44.3,0.43,0.595,2,0.99,1
1.8,32.8,0.465,0.179,3,0.202,0
90.8,45.7,0.439,0.405,5,0.767,1
38.9,49.5,0.441,0.169,4,0.516,1
26.0,25.8,0.48,0.161,2,0.164,0
58.1,26.6,0.372,0.153,2,0.136,0
30.0,33.6,0.796,0.303,2,0.381,0
93.0,38.1,0.393,0.34,5,0.531,1
103.9,29.8,0.089,0.43,2,0.399,0
24.6,48.5,0.208,0.321,0,0.361,0
14.6,39.2,0.439,0.202,1,0.303,0
40.4,35.4,0.369,0.235,3,0.263,0
109.6,20.6,0.362,0.421,1,0.35,0
10.6,21.8,0.09,0.18,3,0.124,0
43.9,37.8,0.463,0.352,3,0.386,0
44.9,13.7,0.118,0.28,1,0.169,0
59.4,45.1,0.685,0.245,0,0.519,1
6.3,33.4,0.262,0.249,2,0.242,0
56.6,60.0,0.455,0.381,4,0.937,1
107.9,58.1,0.229,0.295,2,0.837,1
8.9,33.2,0.047,0.293,1,0.098,0
12.2,33.9,0.184,0.208,5,0.216,0
159.9,45.0,0.326,0.546,0,0.898,1
9.0,52.0,0.086,0.251,2,0.477,0
86.7,18.6,0.784,0.307,3,0.302,0
30.5,17.1,0.372,0.298,4,0.154,0
12.8,28.8,0.282,0.15,1,0.163,0
92.1,40.8,0.607,0.247,1,0.558,1
26.5,40.0,0.324,0.132,2,0.298,0
32.5,45.7,0.513,0.271,1,0.459,0
20.0,23.0,0.147,0.121,1,0.104,0
40.4,11.8,0.599,0.373,5,0.132,0
8.0,43.6,0.179,0.264,2,0.254,0
22.3,26.7,0.342,0.309,2,0.039,0
156.9,14.8,0.387,0.526,0,0.481,0
13.4,36.5,0.634,0.202,7,0.489,0
48.1,42.9,0.435,0.167,2,0.349,0
17.7,33.8,0.533,0.271,2,0.185,0
66.8,30.4,0.25,0.336,2,0.21,0
6.3,33.4,0.563,0.21,6,0.344,0
157.5,31.3,0.505,0.653,1,0.733,1
27.2,21.5,0.166,0.165,5,0.18,0
12.1,27.9,0.456,0.168,6,0.272,0
3.4,40.2,0.2,0.184,6,0.302,0
8.4,38.2,0.404,0.095,4,0.241,0
33.0,36.7,0.733,0.212,4,0.407,0
18.5,25.0,0.461,0.233,3,0.251,0
79.4,33.2,0.442,0.309,2,0.405,0
25.4,13.2,0.353,0.314,3,0.075,0
12.9,36.8,0.381,0.059,6,0.246,0
43.2,49.3,0.099,0.341,2,0.426,0
55.2,20.3,0.273,0.332,3,0.164,0
8.2,29.1,0.446,0.124,1,0.161,0
8.3,38.3,0.139,0.095,0,0.177,0
1.7,47.5,0.464,0.05,5,0.5,1
60.0,30.5,0.442,0.226,2,0.193,0
49.1,28.1,0.12,0.348,3,0.207,0
29.0,15.3,0.608,0.213,1,0.134,0
83.7,36.0,0.11,0.438,2,0.319,0
73.7,55.4,0.231,0.272,2,0.682,1
39.6,37.8,0.194,0.299,4,0.289,0
91.2,34.8,0.267,0.305,1,0.417,0
10.4,38.2,0.287,0.097,2,0.159,0
5.3,34.9,0.571,0.154,2,0.3,0
14.1,26.9,0.508,0.13,6,0.194,0
2.6,43.2,0.66,0.05,4,0.53,1
34.1,37.3,0.21,0.215,2,0.18,0
124.1,35.2,0.292,0.448,3,0.661,1
1.8,25.2,0.043,0.256,2,0.057,0
5.9,48.0,0.08,0.239,2,0.27,0
27.1,41.6,0.426,0.311,7,0.588,1
122.2,29.5,0.706,0.493,3,0.748,1
17.1,45.0,0.223,0.217,3,0.357,0
31.8,30.0,0.75,0.126,1,0.256,0
1.9,27.2,0.128,0.166,1,0.155,0
7.2,27.4,0.279,0.215,4,0.162,0
194.2,17.3,0.233,0.72,1,0.508,1
151.0,39.7,0.347,0.557,4,0.862,1
0.2,16.7,0.476,0.25,4,0.118,0
136.5,22.7,0.234,0.386,6,0.646,1
45.9,14.2,0.878,0.231,3,0.186,0
91.1,34.1,0.504,0.397,3,0.474,0
27.3,33.5,0.151,0.307,1,0.2,0
32.6,31.7,0.138,0.214,2,0.196,0
30.2,24.6,0.423,0.214,8,0.336,0
49.5,23.3,0.056,0.32,2,0.121,0
6.8,39.6,0.718,0.076,6,0.537,1
1.4,29.5,0.48,0.282,4,0.272,0
16.6,38.2,0.387,0.118,3,0.293,0
54.9,26.1,0.268,0.125,2,0.224,0
10.1,36.8,0.375,0.174,2,0.246,0
50.4,48.0,0.353,0.403,1,0.482,0
157.7,40.9,0.684,0.565,1,0.871,1
4.4,30.9,0.278,0.22,3,0.238,0
50.2,37.6,0.143,0.271,0,0.208,0
26.4,32.6,0.219,0.199,3,0.27,0
91.2,35.1,0.399,0.239,2,0.313,0
8.8,31.7,0.31,0.05,1,0.176,0
53.1,33.4,0.197,0.29,5,0.297,0
81.9,37.1,0.149,0.446,3,0.389,0
130.2,25.1,0.36,0.481,3,0.532,1
51.7,24.8,0.233,0.321,5,0.269,0
30.9,21.1,0.253,0.349,1,0.138,0
43.3,19.0,0.473,0.277,7,0.205,0
91.4,22.8,0.212,0.354,2,0.248,0
38.0,36.6,0.479,0.173,1,0.272,0
1.4,26.1,0.569,0.315,5,0.275,0
120.3,40.1,0.43,0.473,3,0.805,1
52.6,35.3,0.119,0.197,1,0.175,0
50.8,15.3,0.337,0.175,4,0.052,0
10.9,41.5,0.374,0.276,5,0.438,0
48.4,43.1,0.404,0.18,5,0.478,0
22.5,25.1,0.131,0.351,0,0.119,0
47.4,39.2,0.556,0.05,4,0.417,0
5.1,26.4,0.683,0.276,3,0.16,0
48.3,36.0,0.133,0.302,4,0.279,0
320.0,22.4,0.185,0.906,2,0.665,1
2.2,17.1,0.283,0.141,3,0.061,0
170.1,31.2,0.148,0.698,0,0.667,1
23.5,33.8,0.075,0.261,2,0.206,0
92.1,31.0,0.59,0.293,4,0.501,1
68.6,23.2,0.13,0.173,2,0.127,0
37.7,31.0,0.729,0.252,5,0.397,0
60.4,37.7,0.12,0.291,1,0.273,0
94.9,34.6,0.545,0.25,1,0.45,0
23.3,36.8,0.048,0.2,1,0.144,0
17.8,28.3,0.311,0.146,1,0.108,0
49.6,46.7,0.495,0.266,2,0.451,0
74.2,23.2,0.241,0.381,1,0.156,0
64.7,39.9,0.151,0.42,0,0.208,0
71.9,46.8,0.129,0.391,1,0.517,1
25.7,39.8,0.224,0.152,2,0.2,0
76.6,33.0,0.719,0.358,2,0.504,1
5.8,29.7,0.777,0.168,2,0.33,0
35.4,45.4,0.196,0.126,2,0.304,0
0.3,20.8,0.252,0.182,1,0.092,0
17.7,25.3,0.273,0.34,5,0.163,0
20.5,31.0,0.432,0.201,1,0.154,0
22.7,47.4,0.571,0.075,5,0.623,1
53.5,38.8,0.83,0.277,5,0.684,1
22.1,25.3,0.279,0.105,2,0.131,0
26.8,31.9,0.52,0.282,3,0.325,0
12.2,28.9,0.38,0.22,4,0.246,0
21.0,27.9,0.408,0.185,2,0.16,0
11.6,44.8,0.204,0.151,1,0.262,0
3.4,21.3,0.327,0.141,1,0.069,0
41.6,51.1,0.545,0.248,4,0.685,1
49.6,43.3,0.485,0.204,3,0.439,0
43.5,45.9,0.498,0.14,5,0.565,1
28.0,30.4,0.499,0.306,4,0.234,0
21.5,33.5,0.323,0.169,3,0.222,0
89.6,20.7,0.6,0.372,4,0.322,0
32.9,29.8,0.212,0.25,5,0.206,0
29.4,39.9,0.367,0.244,1,0.253,0
1.2,48.0,0.314,0.059,2,0.234,0
18.8,23.9,0.353,0.06,3,0.111,0
21.5,31.3,0.368,0.153,1,0.116,0
22.9,33.5,0.177,0.235,2,0.174,0
39.1,21.0,0.343,0.183,0,0.01,0
34.3,40.9,0.43,0.202,1,0.3,0
42.1,27.8,0.165,0.418,2,0.213,0
65.1,33.0,0.34,0.154,2,0.234,0
75.4,30.5,0.637,0.266,3,0.396,0
57.0,27.1,0.433,0.435,3,0.238,0
140.1,34.9,0.215,0.473,2,0.613,1
0.8,32.8,0.194,0.095,1,0.138,0
9.8,31.3,0.418,0.266,3,0.257,0
0.3,27.7,0.88,0.155,3,0.241,0
46.9,38.2,0.242,0.232,2,0.24,0
102.7,51.5,0.266,0.405,1,0.735,1
12.6,36.4,0.347,0.127,2,0.327,0
117.8,45.0,0.336,0.343,2,0.736,1
2.8,21.1,0.31,0.147,3,0.052,0
122.6,36.6,0.183,0.355,4,0.56,1
19.5,24.0,0.28,0.196,5,0.22,0
4.8,20.2,0.679,0.19,0,0.209,0
29.9,27.6,0.386,0.288,1,0.146,0
13.4,46.9,0.102,0.271,2,0.312,0
15.1,44.5,0.461,0.153,4,0.455,0
16.5,37.4,0.826,0.229,4,0.5,1
73.1,19.7,0.686,0.36,6,0.241,0
34.9,33.0,0.308,0.258,0,0.207,0
16.8,38.0,0.146,0.151,1,0.153,0
42.4,36.8,0.612,0.167,4,0.434,0
56.7,16.6,0.568,0.322,7,0.234,0
14.3,26.1,0.019,0.05,2,0.117,0
24.0,34.4,0.56,0.185,3,0.324,0
5.8,40.4,0.187,0.05,1,0.223,0
9.0,13.0,0.164,0.064,1,0.078,0
51.4,33.4,0.28,0.2,1,0.199,0
9.0,36.4,0.428,0.259,3,0.316,0
33.5,43.5,0.216,0.283,3,0.374,0
55.6,41.9,0.666,0.235,3,0.492,0
5.1,40.8,0.481,0.22,5,0.386,0
37.7,27.0,0.185,0.309,3,0.095,0
13.3,15.9,0.61,0.168,7,0.239,0
148.3,31.1,0.503,0.385,3,0.721,1
29.7,45.0,0.352,0.203,1,0.36,0
73.8,48.9,0.336,0.314,2,0.596,1
36.0,42.1,0.619,0.135,2,0.362,0
2.0,39.3,0.267,0.184,0,0.182,0
45.1,38.8,0.76,0.278,2,0.477,0
136.1,29.4,0.32,0.503,1,0.553,1
41.4,33.7,0.353,0.269,1,0.245,0
77.0,51.7,0.39,0.388,1,0.789,1
97.0,25.6,0.263,0.362,2,0.345,0
11.6,51.1,0.192,0.193,0,0.333,0
10.7,31.8,0.073,0.143,3,0.217,0
42.5,48.3,0.524,0.202,2,0.598,1
23.8,20.9,0.587,0.313,2,0.098,0
82.4,40.9,0.724,0.179,8,0.823,1
103.6,27.6,0.691,0.462,4,0.618,1
19.6,20.8,0.19,0.146,1,0.142,0
12.2,37.2,0.275,0.118,1,0.215,0
68.2,45.1,0.374,0.33,4,0.564,1
14.5,26.6,0.3,0.065,1,0.197,0
77.8,20.0,0.523,0.266,1,0.191,0
24.8,34.1,0.647,0.14,6,0.388,0
49.6,34.1,0.196,0.248,4,0.291,0
4.5,40.5,0.053,0.096,1,0.21,0
44.0,44.5,0.643,0.381,3,0.646,1
27.0,34.4,0.564,0.357,2,0.328,0
39.8,53.6,0.178,0.081,1,0.386,0
8.3,37.2,0.242,0.213,2,0.192,0
60.1,31.5,0.084,0.359,2,0.178,0
89.4,18.9,0.549,0.402,3,0.221,0
11.0,32.4,0.431,0.123,7,0.394,0
4.5,31.6,0.647,0.141,3,0.252,0
1.1,44.6,0.642,0.093,5,0.399,0
46.2,39.6,0.366,0.224,3,0.354,0
42.0,23.2,0.149,0.151,0,0.111,0
35.6,36.7,0.088,0.224,0,0.085,0
11.9,41.7,0.146,0.057,1,0.155,0
22.3,50.3,0.261,0.186,3,0.417,0
40.6,43.9,0.316,0.145,4,0.359,0
30.9,42.6,0.266,0.239,0,0.295,0
198.2,35.6,0.65,0.558,5,0.923,1
6.6,38.9,0.498,0.189,2,0.279,0
53.5,47.5,0.725,0.361,2,0.794,1
23.3,21.7,0.321,0.332,6,0.239,0
25.2,31.5,0.461,0.05,2,0.112,0
56.9,27.3,0.743,0.216,6,0.376,0
53.1,38.8,0.736,0.25,4,0.568,1
213.3,47.3,0.036,0.684,1,0.853,1
6.2,29.0,0.21,0.05,1,0.198,0
4.9,11.1,0.077,0.083,2,0.078,0
58.0,30.9,0.435,0.296,1,0.192,0
38.9,44.1,0.568,0.247,5,0.541,1
14.4,40.4,0.291,0.214,0,0.249,0
3.7,39.3,0.601,0.194,0,0.254,0
4.0,32.2,0.317,0.186,2,0.196,0
101.1,22.2,0.206,0.401,2,0.238,0
9.6,40.2,0.368,0.177,4,0.337,0
17.6,26.7,0.113,0.244,1,0.093,0
11.6,56.8,0.621,0.05,7,0.828,1
19.7,40.7,0.771,0.32,3,0.551,1
3.2,29.2,0.614,0.05,3,0.247,0
32.9,28.9,0.561,0.141,2,0.177,0
3.2,34.1,0.566,0.139,1,0.207,0
72.5,32.6,0.329,0.373,2,0.294,0
12.0,46.2,0.558,0.05,5,0.569,1
34.9,36.9,0.266,0.229,4,0.33,0
95.4,27.7,0.335,0.436,2,0.376,0
47.4,53.9,0.535,0.34,3,0.73,1
34.3,35.5,0.342,0.174,0,0.15,0
17.6,42.7,0.396,0.167,5,0.468,0
18.2,28.9,0.29,0.143,3,0.127,0
49.8,38.6,0.61,0.235,4,0.468,0
231.3,38.1,0.438,0.607,5,0.88,1
48.8,16.1,0.628,0.193,3,0.11,0
36.7,55.2,0.166,0.27,0,0.541,1
59.0,47.9,0.255,0.298,1,0.457,0
28.2,31.0,0.471,0.255,1,0.233,0
2.8,24.0,0.616,0.174,8,0.35,0
37.2,38.5,0.328,0.293,2,0.282,0
142.3,35.9,0.738,0.552,1,0.826,1
8.7,38.6,0.178,0.05,3,0.196,0
52.7,36.9,0.4,0.205,1,0.246,0
10.1,40.1,0.671,0.155,7,0.635,1
34.5,49.5,0.743,0.229,7,0.792,1
4.6,40.7,0.37,0.107,2,0.235,0
26.9,24.5,0.104,0.286,1,0.078,0
63.5,48.6,0.348,0.457,3,0.688,1
19.2,51.4,0.192,0.21,2,0.495,0
49.2,60.0,0.395,0.272,3,0.852,1
71.4,23.8,0.419,0.385,3,0.259,0
117.9,37.4,0.269,0.276,6,0.703,1
12.0,14.2,0.53,0.18,2,0.116,0
22.9,40.5,0.543,0.282,0,0.347,0
7.4,29.5,0.498,0.116,4,0.242,0
220.1,54.2,0.481,0.565,3,0.99,1
117.8,27.3,0.358,0.41,1,0.464,0
34.9,18.1,0.344,0.227,3,0.06,0
83.0,30.3,0.32,0.271,5,0.383,0
33.1,15.2,0.398,0.395,2,0.124,0
44.0,42.5,0.235,0.214,3,0.352,0
4.2,14.3,0.546,0.068,3,0.101,0
63.3,35.3,0.451,0.29,1,0.296,0
6.1,14.2,0.292,0.237,3,0.075,0
78.7,31.8,0.195,0.335,1,0.174,0
68.6,51.4,0.113,0.349,4,0.649,1
55.5,38.6,0.329,0.21,2,0.247,0
1.7,26.4,0.312,0.273,6,0.237,0
16.3,34.7,0.69,0.233,1,0.261,0
13.7,35.2,0.217,0.266,4,0.323,0
20.1,39.7,0.264,0.226,3,0.284,0
4.1,21.3,0.086,0.226,2,0.095,0
124.4,40.9,0.467,0.37,3,0.804,1
36.3,10.0,0.265,0.195,3,0.181,0
16.4,28.7,0.474,0.296,2,0.213,0
22.8,30.1,0.37,0.328,4,0.237,0
26.7,41.3,0.536,0.12,0,0.299,0
41.3,35.2,0.616,0.266,2,0.269,0
32.6,20.9,0.262,0.192,3,0.138,0
113.3,25.2,0.446,0.359,2,0.503,1
30.9,37.0,0.281,0.245,3,0.275,0
218.2,34.2,0.72,0.75,1,0.918,1
85.8,29.2,0.495,0.386,3,0.385,0
10.5,30.2,0.233,0.149,5,0.205,0
120.1,42.0,0.392,0.471,2,0.761,1
5.6,29.8,0.311,0.134,5,0.256,0
76.5,34.1,0.74,0.362,4,0.559,1
21.6,56.7,0.141,0.312,1,0.452,0
94.7,20.8,0.474,0.205,3,0.299,0
91.1,16.5,0.523,0.426,1,0.288,0
73.8,42.8,0.62,0.199,5,0.629,1
70.2,28.2,0.081,0.412,2,0.152,0
16.4,31.8,0.613,0.137,0,0.207,0
3.8,27.2,0.4,0.061,8,0.358,0
23.2,32.4,0.149,0.26,3,0.221,0
8.6,51.0,0.253,0.199,1,0.459,0
53.4,43.0,0.433,0.195,5,0.528,1
19.1,43.6,0.457,0.094,0,0.293,0
167.1,20.8,0.402,0.525,4,0.662,1
46.1,23.5,0.542,0.161,4,0.221,0
77.8,10.0,0.481,0.247,3,0.146,0
6.4,26.9,0.709,0.174,4,0.255,0
89.1,44.6,0.385,0.281,2,0.55,1
115.2,40.2,0.669,0.453,4,0.855,1
30.0,32.8,0.205,0.339,3,0.176,0
41.9,34.8,0.245,0.236,1,0.227,0
65.1,28.1,0.264,0.312,4,0.228,0
8.6,37.0,0.667,0.332,1,0.344,0
31.4,42.7,0.166,0.128,1,0.238,0
22.9,18.8,0.347,0.299,3,0.097,0
7.1,38.0,0.016,0.252,1,0.095,0
20.6,44.3,0.362,0.266,1,0.321,0
3.2,30.8,0.289,0.261,0,0.08,0
1.2,42.0,0.054,0.175,2,0.251,0
6.5,60.0,0.523,0.119,2,0.736,1
148.5,34.0,0.544,0.584,2,0.864,1
35.9,38.9,0.405,0.324,4,0.395,0
151.9,27.6,0.124,0.593,1,0.59,1
25.5,36.8,0.512,0.213,1,0.178,0
16.8,39.6,0.457,0.132,2,0.285,0
31.7,36.9,0.341,0.239,0,0.197,0
26.1,24.8,0.613,0.286,4,0.187,0
5.0,37.1,0.269,0.244,3,0.258,0
46.1,49.6,0.315,0.223,5,0.565,1
11.0,39.5,0.474,0.201,0,0.234,0
43.5,44.6,0.488,0.147,3,0.441,0
47.3,32.6,0.388,0.339,4,0.293,0
7.4,42.5,0.614,0.105,3,0.419,0
2.8,37.8,0.076,0.219,1,0.17,0
68.3,25.5,0.834,0.217,7,0.497,0
27.7,38.2,0.805,0.297,4,0.556,1
2.7,25.1,0.551,0.182,4,0.161,0
237.2,28.7,0.49,0.641,4,0.817,1
2.7,36.9,0.369,0.212,1,0.27,0
53.4,38.0,0.183,0.227,1,0.264,0
185.2,23.1,0.623,0.642,2,0.793,1
12.3,45.5,0.221,0.157,4,0.417,0
6.9,40.7,0.191,0.05,1,0.165,0
5.8,28.0,0.796,0.085,5,0.319,0
16.3,19.6,0.142,0.154,0,0.08,0
4.8,33.6,0.217,0.271,1,0.195,0
53.0,30.5,0.449,0.346,0,0.187,0
2.9,36.1,0.302,0.287,3,0.264,0
32.0,31.4,0.586,0.357,4,0.344,0
257.1,14.9,0.297,0.707,1,0.58,1
75.7,31.1,0.24,0.312,1,0.258,0
43.0,31.9,0.083,0.217,3,0.199,0
16.5,41.3,0.549,0.135,2,0.345,0
44.0,28.0,0.721,0.105,4,0.293,0
33.7,51.8,0.527,0.227,3,0.729,1
25.0,15.9,0.672,0.105,2,0.045,0
6.3,48.1,0.057,0.162,0,0.197,0
98.0,32.8,0.444,0.548,2,0.527,1
26.9,43.6,0.305,0.172,3,0.352,0
9.7,35.8,0.67,0.188,3,0.358,0
20.6,46.4,0.944,0.271,6,0.92,1
24.1,31.1,0.133,0.229,1,0.152,0
79.1,24.0,0.452,0.358,3,0.249,0
